ICN,WeaponsList
200912167,Unknown
200912177,Unknown
200912132,Unknown
200912151,Explosive
200911749,Explosive
200911752,Explosive
200911811,Explosive
200912119,Explosive
200912119, IED
200911909,Explosive
200911909, IED
200911901,Explosive
200911901, IED
200911902,Explosive
200911902, IED
200911913,Explosive
200911913, IED
200911669,Explosive
200911669, IED
200911633,Explosive
200911633, IED
200911819,Explosive
200911819, IED
200911668,Firearm
200911910,Firearm
200911831,Firearm
200912113,Firearm
200912150,Firearm
200911713,Firearm
200911713, Firebomb/Incendiary
200911740,Firearm
200911740, Firebomb/Incendiary
200911751,Firebomb/Incendiary
200911557,Firebomb/Incendiary
200911773,Firebomb/Incendiary
200912181,Landmine
200911895,Missile/Rocket
200911777,Primitive
200911560,Primitive
200911561,Primitive
200911778,Primitive
200911780,Primitive
200911855,Unknown
200911530,Explosive
200911530, IED
200911897,Explosive
200911897, IED
200911929,Explosive
200911929, IED
200911498,Firearm
200911957,Firearm
200911958,Firearm
200912121,Firearm
200911827,Firearm
200911743,Firearm
200912140,Firearm
200912118,Firearm
200912118, Mortar/Artillery
200911760,Firearm
200911760, Primitive
200911898,Firebomb/Incendiary
200911898, Unknown
200911868,Mortar/Artillery
200911867,Mortar/Artillery
200911775,Primitive
200911765,Primitive
200911894,Unknown
200911716,Explosive
200911716, IED
200911807,Explosive
200911807, IED
200912013,Explosive
200912013, IED
200911988,Explosive
200911988, IED
200912104,Explosive
200912104, IED
200911776,Explosive
200911776, IED
200911714,Explosive
200911714, IED
200911892,Explosive
200911892, IED
200911930,Explosive
200911930, IED
200911469,Firearm
200911806,Firearm
200911980,Firearm
200911968,Firearm
200911978,Firearm
200911971,Firearm
200912075,Firearm
200911893,Firearm
200911852,Firearm
200911903,Firearm
200911744,Firearm
200911746,Firearm
200911748,Firearm
200911804,Firearm
200912139,Firearm
200912152,Firebomb/Incendiary
200911962,Grenade
200911960,IED
200911960, Vehicle bomb
200911829,Missile/Rocket
200911975,Mortar/Artillery
200911805,Primitive
200912378,Unknown
200911470,Unknown
200911869,Unknown
200911754,Unknown
200911528,Explosive
200911528, IED
200911721,Explosive
200911721, IED
200912007,Explosive
200912007, IED
200912001,Explosive
200912001, IED
200911858,Explosive
200911858, IED
200912141,Explosive
200912141, IED
200912000,Explosive
200912000, IED
200912000, Vehicle bomb
200911719,Firearm
200912173,Firearm
200912023,Firearm
200912009,Firearm
200912012,Firearm
200912025,Firearm
200912186,Firearm
200911835,Firearm
200911756,Firearm
200912142,Firearm
200912144,Firearm
200912010,Grenade
200911822,Missile/Rocket
200911737,Mortar/Artillery
200911723,Primitive
200912105,Unknown
200912174,Unknown
200912130,Unknown
200911815,Explosive
200911828,Explosive
200911828, IED
200912026,Explosive
200912026, IED
200911864,Explosive
200911864, IED
200911863,Explosive
200911863, IED
200911542,Firearm
200911998,Firearm
200911839,Firearm
200911766,Firearm
200911767,Firearm
200911757,Firearm
200911768,Firearm
200912187,Firearm
200912147,Firearm
200912145,Firearm
200912194,Firearm
200912045,Firearm
200912045, RPG
200911825,Firebomb/Incendiary
200912159,Grenade
200911738,Missile/Rocket
200912109,Missile/Rocket
200912148,Missile/Rocket
200911860,Missile/Rocket
200912044,Mortar/Artillery
200911823,Primitive
200911824,Primitive
200911722,Unknown
200912179,Unknown
201000173,Explosive
201000173, IED
201000081,Explosive
201000081, IED
201000167,Explosive
201000167, IED
201000004,Explosive
201000004, IED
201000003,Explosive
201000003, IED
201000076,Explosive
201000076, IED
201000094,Explosive
201000094, IED
201000077,Explosive
201000077, IED
201000052,Explosive
201000052, IED
201000171,Firearm
201000012,Firearm
201000282,Firearm
201000284,Firearm
201000678,Firearm
201005986,Firearm
201000078,Firearm
201000078, Firebomb/Incendiary
201000559,Firearm
201000559, Firebomb/Incendiary
201000454,Firebomb/Incendiary
201000329,Firebomb/Incendiary
201000526,Firebomb/Incendiary
201000437,Grenade
201000049,IED
201000049, Vehicle bomb
201000325,Landmine
201000333,Missile/Rocket
201000334,Mortar/Artillery
201000717,Primitive
201000283,Primitive
201006023,Unknown
201000281,Unknown
201000452,Unknown
201000142,Explosive
201000215,Explosive
201000215, IED
201000009,Explosive
201000009, IED
201000054,Explosive
201000054, IED
201000177,Firearm
201000175,Firearm
201000199,Firearm
201000010,Firearm
201000326,Firearm
201000285,Firearm
201000449,Firearm
201000449, Mortar/Artillery
201006899,Firearm
201006899, Primitive
201000011,Grenade
201000007,IED
201000007, Vehicle bomb
201000217,Landmine
201000080,Missile/Rocket
201000174,Primitive
201000792,Primitive
201000440,Explosive
201000189,Explosive
201000189, IED
201000059,Explosive
201000059, IED
201000056,Explosive
201000056, IED
201006031,Firearm
201000183,Firearm
201000133,Firearm
201000013,Firearm
201000060,Firearm
201000289,Firearm
201000293,Firearm
201000729,Firearm
201000265,Firearm
201006900,Firebomb/Incendiary
201006900, Primitive
201000457,Grenade
201000014,Mortar/Artillery
201000213,Primitive
201000565,Primitive
201000291,Primitive
201000291, Unknown
201000638,Unknown
201000675,Unknown
201000176,Unknown
201000438,Explosive
201000180,Explosive
201000180, IED
201000018,Explosive
201000018, IED
201000182,Firearm
201000187,Firearm
201000041,Firearm
201000198,Firearm
201000200,Firearm
201000516,Firearm
201000138,Firearm
201000839,Firearm
201000839, Firebomb/Incendiary
201000212,Firebomb/Incendiary
201000075,Firebomb/Incendiary
201005796,Firebomb/Incendiary
201000062,Firebomb/Incendiary
201000567,Firebomb/Incendiary
201000567, Primitive
201000567, Unknown
201000022,Grenade
201000019,Grenade
201000327,Grenade
201000713,Grenade
201000458,IED
201000458, Landmine
201000017,IED
201000017, Vehicle bomb
201000211,Missile/Rocket
201000719,Mortar/Artillery
201006049,Unknown
201006029,Unknown
201006053,Unknown
201000571,Unknown
201000793,Unknown
201000150,Explosive
201000083,Explosive
201000083, IED
201000063,Explosive
201000063, IED
201000184,Firearm
201000164,Firearm
201000528,Firearm
201000114,Firearm
201000114, Primitive
201000566,Firebomb/Incendiary
201000754,Firebomb/Incendiary
201000773,Firebomb/Incendiary
201000067,Missile/Rocket
201000066,Missile/Rocket
201006051,Unknown
201000123,Explosive
201000123, IED
201000119,Explosive
201000119, IED
201006129,Explosive
201006129, IED
201000118,Explosive
201000118, IED
201000120,Explosive
201000120, IED
201000030,Explosive
201000030, IED
201000033,Explosive
201000033, IED
201000029,Explosive
201000029, IED
201000226,Explosive
201000226, IED
201005714,Explosive
201005714, IED
201000168,Firearm
201000179,Firearm
201000043,Firearm
201000036,Firearm
201000520,Firearm
201000844,Firearm
201000843,Firearm
201000842,Firearm
201000024,Firearm
201000024, Grenade
201000203,Firearm
201000203, Grenade
201005798,Firebomb/Incendiary
201000188,Grenade
201005808,Grenade
201000210,IED
201000210, Landmine
201000443,IED
201000443, Vehicle bomb
201000165,Landmine
201000209,Missile/Rocket
201000035,Mortar/Artillery
201005787,Other
201000122,Explosive
201000122, IED
201000121,Explosive
201000121, IED
201000020,Explosive
201000020, IED
201000125,Explosive
201000125, IED
201000042,Explosive
201000042, IED
201000037,Explosive
201000037, IED
201000040,Explosive
201000040, IED
201000863,Explosive
201000863, IED
201000862,Explosive
201000862, IED
201000849,Explosive
201000849, IED
201006074,Firearm
201000377,Firearm
201000451,Firearm
201000679,Firearm
201005771,Firearm
201005771, Firebomb/Incendiary
201000448,Firearm
201000448, Grenade
201000038,Firearm
201000038, RPG
201000231,Firebomb/Incendiary
201006076,IED
201006076, Vehicle bomb
201006132,IED
201006132, Vehicle bomb
201000044,Landmine
201006071,Missile/Rocket
201006072,Missile/Rocket
201000021,Missile/Rocket
201000261,Missile/Rocket
201000328,Missile/Rocket
201000328, Mortar/Artillery
201000359,Mortar/Artillery
201000721,Mortar/Artillery
201006122,Unknown
201005794,Unknown
201000741,Unknown
201000154,Explosive
201000154, IED
201006101,Explosive
201006101, IED
201000708,Explosive
201000708, IED
201000046,Explosive
201000046, IED
201000047,Explosive
201000047, IED
201000227,Explosive
201000227, IED
201000201,Firearm
201000127,Firearm
201000677,Firearm
201000057,Firearm
201000218,Firearm
201000523,Firebomb/Incendiary
201000144,Firebomb/Incendiary
201000144, Unknown
201000048,IED
201000048, Vehicle bomb
201000266,Other
201000266, Primitive
201000815,Primitive
201000140,Unknown
201000141,Unknown
201000269,Unknown
201000064,Explosive
201000178,Explosive
201000178, IED
201000137,Explosive
201000137, IED
201000152,Explosive
201000152, IED
201000701,Explosive
201000701, IED
201000053,Explosive
201000053, IED
201000058,Explosive
201000058, IED
201000228,Explosive
201000228, IED
201006133,Firearm
201000055,Firearm
201000220,Firearm
201000239,Firearm
201000229,Firearm
201000181,Missile/Rocket
201000376,Missile/Rocket
201006130,Mortar/Artillery
201000069,Mortar/Artillery
201000740,Primitive
201000146,Unknown
201000816,Unknown
201000170,Explosive
201000170, IED
201000139,Explosive
201000139, IED
201000072,Explosive
201000072, IED
201000070,Explosive
201000070, IED
201000087,Explosive
201000087, IED
201000221,Explosive
201000221, IED
201000222,Explosive
201000222, IED
201000250,Firearm
201000252,Firearm
201000599,Firearm
201005677,Firearm
201000868,Firearm
201000866,Firearm
201000028,Firearm
201000028, Firebomb/Incendiary
201000028, Primitive
201000693,Firearm
201000693, Mortar/Artillery
201000263,Firebomb/Incendiary
201000525,Grenade
201000082,IED
201000082, Vehicle bomb
201005717,Primitive
201000169,RPG
201000819,Unknown
201000735,Unknown
201000259,Explosive
201000259, IED
201000390,Explosive
201000390, IED
201000045,Explosive
201000045, IED
201000085,Explosive
201000085, IED
201000298,Firearm
201000314,Firearm
201000086,Firearm
201000270,Firearm
201000502,Firearm
201000497,Firearm
201005709,Firearm
201006050,Firebomb/Incendiary
201000292,Firebomb/Incendiary
201006033,Missile/Rocket
201000370,Missile/Rocket
201000254,Unknown
201005818,Explosive
201000504,Explosive
201000391,Explosive
201000391, IED
201000088,Explosive
201000088, IED
201000498,Explosive
201000498, IED
201000093,Firearm
201000158,Firearm
201000089,Firearm
201000295,Firearm
201000290,Firearm
201000600,Firearm
201000603,Firearm
201005712,Firearm
201006363,Firearm
201006363, Firebomb/Incendiary
201006363, Primitive
201000814,Firearm
201000814, Grenade
201000267,Grenade
201000277,IED
201000277, Vehicle bomb
201000090,Missile/Rocket
201000091,Missile/Rocket
201000271,Explosive
201000271, Firearm
201000271, IED
201005723,Explosive
201005723, Firearm
201005723, IED
201000268,Explosive
201000268, IED
201000255,Explosive
201000255, IED
201000096,Explosive
201000096, IED
201000097,Explosive
201000097, IED
201000372,Explosive
201000372, IED
201000245,Explosive
201000245, IED
201000304,Firearm
201000113,Firearm
201000107,Firearm
201000098,Firearm
201005774,Firearm
201005773,Firearm
201005773, Firebomb/Incendiary
201005739,Firearm
201005739, Firebomb/Incendiary
201000818,Firearm
201000818, Primitive
201000116,Firebomb/Incendiary
201000556,Grenade
201000253,IED
201000253, Vehicle bomb
201000095,IED
201000095, Vehicle bomb
201005733,IED
201005733, Vehicle bomb
201000374,Missile/Rocket
201000374, Mortar/Artillery
201000817,Mortar/Artillery
201000262,Explosive
201000262, IED
201000258,Explosive
201000258, IED
201000106,Explosive
201000106, IED
201000129,Explosive
201000129, IED
201000104,Explosive
201000104, IED
201000101,Explosive
201000101, IED
201000412,Firearm
201000102,Firearm
201000100,Firearm
201000246,Firearm
201005855,Firearm
201005742,Firearm
201005741,Firearm
201005799,Firebomb/Incendiary
201005800,Firebomb/Incendiary
201000553,Firebomb/Incendiary
201000555,Firebomb/Incendiary
201000598,Grenade
201005809,Other
201005809, Primitive
201000256,Primitive
201006087,Unknown
201005801,Explosive
201000274,Explosive
201000274, IED
201000110,Explosive
201000110, IED
201000128,Explosive
201000128, IED
201000632,Explosive
201000632, IED
201000272,Explosive
201000272, IED
201000273,Explosive
201000273, IED
201000248,Explosive
201000248, IED
201000305,Firearm
201000371,Firearm
201000249,Firearm
201000247,Firearm
201000275,Firearm
201000610,Firearm
201005793,Firearm
201000117,Firearm
201000117, Grenade
201000416,Grenade
201000419,Grenade
201000676,Grenade
201000409,Landmine
201000308,Missile/Rocket
201000375,Missile/Rocket
201000103,Missile/Rocket
201006093,Unknown
201006092,Unknown
201006085,Unknown
201000625,Unknown
201000365,Explosive
201000365, IED
201000135,Explosive
201000135, IED
201000131,Explosive
201000131, IED
201000432,Explosive
201000432, IED
201000494,Explosive
201000494, IED
201000109,Firearm
201000469,Firearm
201000130,Firearm
201005784,Firearm
201005785,Firearm
201000470,Firearm
201000396,Firearm
201000394,Firearm
201000395,Firearm
201000439,Firearm
201000601,Firearm
201000115,Firearm
201000115, Other
201000382,Firebomb/Incendiary
201000319,IED
201000319, Landmine
201005811,IED
201005811, Landmine
201000111,IED
201000111, Vehicle bomb
201005831,Primitive
201000163,Unknown
201000695,Explosive
201000147,Explosive
201000147, IED
201000149,Explosive
201000149, IED
201000160,Explosive
201000160, IED
201000145,Explosive
201000145, IED
201000413,Explosive
201000413, IED
201005750,Explosive
201005750, IED
201000323,Firearm
201000151,Firearm
201000153,Firearm
201000157,Firearm
201000159,Firearm
201005775,Firearm
201005777,Firearm
201000322,Firearm
201000477,Firearm
201000611,Firearm
201000612,Firearm
201000609,Firearm
201000613,Firearm
201000602,Firearm
201005748,Firearm
201005749,Firearm
201000586,Firearm
201005815,Firearm
201005815, Mortar/Artillery
201005815, RPG
201000404,Firearm
201000404, Unknown
201000616,Firebomb/Incendiary
201000467,Primitive
201005990,Primitive
201000410,Unknown
201000408,Explosive
201000480,Explosive
201000108,Explosive
201000108, Firearm
201000108, Grenade
201000108, IED
201000108, Missile/Rocket
201000108, Mortar/Artillery
201000108, Vehicle bomb
201000335,Explosive
201000335, IED
201000197,Explosive
201000197, IED
201000196,Explosive
201000196, IED
201000483,Explosive
201000483, IED
201000479,Explosive
201000479, IED
201000484,Explosive
201000484, IED
201000367,Explosive
201000367, IED
201000471,Explosive
201000471, IED
201000337,Firearm
201000340,Firearm
201006067,Firearm
201000192,Firearm
201000195,Firearm
201000614,Firearm
201000398,Firearm
201000190,Firearm
201000190, IED
201000190, Vehicle bomb
201000193,Grenade
201000191,IED
201000191, Vehicle bomb
201006063,Missile/Rocket
201000331,Missile/Rocket
201006069,Unknown
201005823,Unknown
201000342,Explosive
201000342, IED
201006062,Explosive
201006062, IED
201000424,Explosive
201000424, IED
201000422,Explosive
201000422, IED
201000206,Explosive
201000206, IED
201000207,Explosive
201000207, IED
201000204,Explosive
201000204, IED
201000358,Firearm
201000407,Firearm
201000400,Firearm
201005816,Firearm
201000161,Firearm
201000161, Other
201000347,Firebomb/Incendiary
201000623,Firebomb/Incendiary
201005778,Grenade
201000418,Grenade
201000414,IED
201000414, Vehicle bomb
201000208,Missile/Rocket
201006061,Unknown
201006060,Unknown
201000366,Unknown
201006025,Unknown
201000405,Explosive
201000406,Explosive
201000593,Explosive
201000357,Explosive
201000357, IED
201000301,Explosive
201000301, IED
201000318,Explosive
201000318, IED
201000309,Explosive
201000309, IED
201000299,Explosive
201000299, IED
201000306,Explosive
201000306, IED
201000486,Explosive
201000486, IED
201000360,Explosive
201000360, IED
201000300,Explosive
201000300, IED
201000300, Vehicle bomb
201000364,Firearm
201000351,Firearm
201000303,Firearm
201000628,Firearm
201005779,IED
201005779, Landmine
201000242,IED
201000242, Vehicle bomb
201000243,IED
201000243, Vehicle bomb
201000585,Missile/Rocket
201000617,Missile/Rocket
201000591,Missile/Rocket
201009599,Primitive
201000824,Primitive
201006065,Unknown
201005747,Unknown
201005829,Unknown
201005828,Unknown
201000694,Explosive
201000694, IED
201006094,Explosive
201006094, IED
201000223,Explosive
201000223, IED
201000240,Explosive
201000240, IED
201000230,Explosive
201000230, IED
201000224,Explosive
201000224, IED
201000232,Explosive
201000232, IED
201000468,Explosive
201000468, IED
201000589,Firearm
201005751,Firearm
201000753,Firebomb/Incendiary
201000596,Firebomb/Incendiary
201000241,Grenade
201005987,Primitive
201000473,Explosive
201000473, Firearm
201000473, IED
201000647,Explosive
201000647, IED
201006037,Explosive
201006037, IED
201006032,Explosive
201006032, IED
201006036,Explosive
201006036, IED
201006075,Explosive
201006075, IED
201000726,Explosive
201000726, IED
201000238,Explosive
201000238, IED
201000430,Explosive
201000430, IED
201006082,Firearm
201006059,Firearm
201006057,Firearm
201000650,Firearm
201006030,Firearm
201000235,Firearm
201000236,Firearm
201000606,Firearm
201005867,Firearm
201005879,Firearm
201005879, Grenade
201005866,Firearm
201005866, Primitive
201006058,Grenade
201000605,Grenade
201000666,Missile/Rocket
201000635,Mortar/Artillery
201006028,Unknown
201006027,Unknown
201006043,Unknown
201006084,Unknown
201006055,Unknown
201006042,Unknown
201006096,Unknown
201006054,Unknown
201006095,Unknown
201006021,Unknown
201006022,Unknown
201005780,Explosive
201005780, Firearm
201005780, IED
201000652,Explosive
201000652, IED
201000649,Explosive
201000649, IED
201000279,Explosive
201000279, IED
201000692,Firearm
201000684,Firearm
201000651,Firearm
201000663,Firearm
201000431,Firearm
201000549,Firearm
201000276,Firearm
201000478,Firearm
201000441,Firearm
201000436,IED
201000436, Vehicle bomb
201000321,Missile/Rocket
201000278,Mortar/Artillery
201006019,Primitive
201000433,Unknown
201000655,Unknown
201005756,Unknown
201006014,Unknown
201005951,Unknown
201005875,Explosive
201000690,Explosive
201000690, IED
201000739,Explosive
201000739, IED
201000296,Explosive
201000296, IED
201000297,Explosive
201000297, IED
201000280,Explosive
201000280, IED
201000313,Explosive
201000313, IED
201000307,Explosive
201000307, IED
201000311,Explosive
201000311, IED
201000444,Explosive
201000444, IED
201000445,Explosive
201000445, IED
201000686,Firearm
201000756,Firearm
201000302,Firearm
201000442,Firearm
201005877,Firearm
201006324,Firearm
201006324, Mortar/Artillery
201006898,Firearm
201006898, Primitive
201005802,Firebomb/Incendiary
201000620,Firebomb/Incendiary
201000673,Missile/Rocket
201006018,Primitive
201000688,Unknown
201006089,Unknown
201000653,Unknown
201000696,Explosive
201006534,Explosive
201000683,Explosive
201000683, IED
201000736,Explosive
201000736, IED
201000346,Explosive
201000346, IED
201000629,Explosive
201000629, IED
201005871,Explosive
201005871, IED
201005958,Explosive
201005958, Mortar/Artillery
201000654,Firearm
201000662,Firearm
201000682,Firearm
201000607,Firearm
201000349,Firearm
201000341,Firearm
201000348,Firearm
201000590,Firearm
201005752,Firearm
201005753,Firearm
201000344,Firearm
201000344, IED
201000344, Vehicle bomb
201006091,Firearm
201006091, RPG
201005803,Firebomb/Incendiary
201000389,Grenade
201000388,Missile/Rocket
201000345,Primitive
201006079,Unknown
201000656,Explosive
201000656, IED
201000671,Explosive
201000671, IED
201000350,Explosive
201000350, IED
201000392,Explosive
201000392, IED
201000397,Explosive
201000397, IED
201005786,Explosive
201005786, IED
201000447,Explosive
201000447, IED
201000362,Firearm
201000363,Firearm
201000353,Firearm
201000723,Firearm
201005975,Firearm
201006086,Firearm
201006086, RPG
201005804,Firebomb/Incendiary
201000487,IED
201000487, Vehicle bomb
201000361,IED
201000361, Vehicle bomb
201000446,IED
201000446, Vehicle bomb
201000728,Primitive
201006006,Primitive
201000489,Unknown
201006078,Unknown
201000627,Unknown
201000462,Explosive
201000462, Firearm
201006068,Explosive
201006068, IED
201000575,Explosive
201000575, IED
201000576,Explosive
201000576, IED
201000415,Explosive
201000415, IED
201000428,Explosive
201000428, IED
201005676,Explosive
201005676, IED
201000831,Explosive
201000831, IED
201000833,Explosive
201000833, IED
201000829,Explosive
201000829, IED
201005754,Explosive
201005754, IED
201000633,Firearm
201000464,Firearm
201000604,Firearm
201000594,Firearm
201000592,Firearm
201000403,Firearm
201000402,Firearm
201000399,Firearm
201000787,Firearm
201000746,Firearm
201000459,Firearm
201000830,Firearm
201000724,Firearm
201000636,Firearm
201005976,Firearm
201005976, Mortar/Artillery
201006000,Firearm
201006000, Mortar/Artillery
201005806,Firebomb/Incendiary
201005805,Firebomb/Incendiary
201000595,Firebomb/Incendiary
201006007,Primitive
201000472,Primitive
201000472, Unknown
201006064,Unknown
201000820,Unknown
201000463,Unknown
201005675,Unknown
201005668,Unknown
201005667,Unknown
201006013,Unknown
201000417,Explosive
201000417, IED
201007913,Explosive
201007913, IED
201005665,Explosive
201005665, IED
201000848,Explosive
201000848, IED
201000857,Explosive
201000857, IED
201005985,Explosive
201005985, IED
201000577,Firearm
201000421,Firearm
201000450,Firearm
201000423,Firearm
201000846,Firearm
201000765,Firearm
201005984,Firearm
201000634,Firearm
201000634, Grenade
201000766,Firearm
201000766, Landmine
201005813,Firebomb/Incendiary
201000764,Firebomb/Incendiary
201000733,Firebomb/Incendiary
201006009,Firebomb/Incendiary
201006009, Unknown
201000847,Grenade
201000841,IED
201000841, Vehicle bomb
201000420,Mortar/Artillery
201006083,Unknown
201006010,Unknown
201000578,Explosive
201000578, Firearm
201000578, IED
201000745,Explosive
201000745, IED
201005782,Explosive
201005782, IED
201000775,Explosive
201000775, IED
201000774,Explosive
201000774, IED
201000771,Firearm
201000769,Firearm
201000495,Firearm
201006159,Firearm
201000855,Firearm
201005982,Firearm
201005982, Mortar/Artillery
201005814,Firebomb/Incendiary
201005797,Firebomb/Incendiary
201000880,Missile/Rocket
201000641,Explosive
201006146,Explosive
201006146, IED
201000517,Explosive
201000517, IED
201000515,Explosive
201000515, IED
201000500,Explosive
201000500, IED
201000522,Explosive
201000522, IED
201005820,Explosive
201005820, IED
201000823,Explosive
201000823, IED
201000878,Explosive
201000878, IED
201000519,Firearm
201000514,Firearm
201000865,Firearm
201005755,Firearm
201005890,Firearm
201000581,Firearm
201000581, Firebomb/Incendiary
201000499,Grenade
201005664,Grenade
201000640,Grenade
